Bron: Thumbs up?,Titel resultaat,Ranking,Link/resultaat,"Query ",Relevant?,vrije tags page,Bronnen DB,Bron: Inst/Bedrijf,Toegankelijkheid doelgroep (indruk),Soort Resultaat,Bron: Vrije labels,Bron: Commerciality,Bron: Sector,Q: soort,Bron: reclame,Opmerking,Q: Ranking vrije labels,Bron: doel,Bron: Trackers,OnderzoekNr,Related to Bronnen DB test (Resultaten DB),Bronnen: URL domein,Query: Video Schooltv,Created by,Bron-Status,Created time,Bron: Onderwerp
Ja,Spijkerbroek - Wikipedia,1,"https://nl.wikipedia.org/wiki/Spijkerbroek#:~:text=In%201847%20emigreerde%20Levi%20Strauss,waren%20dan%20de%20gebruikelijke%20broeken.",onstaan spijkerbroek (https://www.notion.so/onstaan-spijkerbroek-e236a406a4a74f00b7e88827bf70a313?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,2 of meer woorden,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,"8 (CH 1, 5;  klokhuis 2; WW 3; SS 9)",Maarten Sprenger,Done,"January 13, 2024 2:30 PM",
Twijfel,Paarden die in de wei spelen - YouTube,1,https://www.youtube.com/watch?v=hNHlIXbkOgc,video van paarden (https://www.notion.so/video-van-paarden-dc11b8b6f71c4653b2788f18abfbd96b?pvs=21),relevant,,youtube.com/@HoefWijzer (https://www.notion.so/youtube-com-HoefWijzer-c7de7c15aca44cffb3dec455ae28f064?pvs=21),Fenna van Dam,te_simpel,informatief,"BigTech,entertainment,infinite_scroll",commercieel,Celebrities/vloggers,2 of meer woorden,limited_ads,,,blog/vlog commercieel,13,1,,https://www.youtube.com/@HoefWijzer,-,Maarten Sprenger,Done,"January 13, 2024 1:47 PM",
Ja,Kerstmis - Wikipedia,1,https://nl.wikipedia.org/wiki/Kerstmis,kerstmis (https://www.notion.so/kerstmis-d9049904c07a41c6af4a345b6017178f?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Eén woord,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,-,Maarten Sprenger,Done,"January 13, 2024 12:39 PM",
Ja,Otter | De Zoogdiervereniging,1,"https://www.zoogdiervereniging.nl/zoogdiersoorten/otter#:~:text=Hij%20heeft%20een%20lange%20bovenvacht,zowel%20zijn%20achter%2D%20als%20voorpoten.",otter kenmerken (https://www.notion.so/otter-kenmerken-d9068baceb2944508fcc1b97a85f787b?pvs=21),relevant,,zoogdiervereniging.nl (https://www.notion.so/zoogdiervereniging-nl-df5d3142a92c4375bdc1af18c5bff5a2?pvs=21),De Zoogdiervereniging,complex,informatief,"community,informatie_primair_doel,kennisbank/centrum",not_for_profit,Beroeps/Branche-verenigingen,2 of meer woorden,no_ads,,,kennisbank/centrum +,1,1,,https://www.zoogdiervereniging.nl/,"2, 6 (JJ 1)",Maarten Sprenger,Done,"January 13, 2024 11:47 AM",dieren
Just-in-case,Tekst- en spraakberichten sturen en ontvangen via Google Berichten - Google Berichten (Support),1,https://support.google.com/messages/answer/6080324?hl=nl,ik wil iemand een bericht steuren (https://www.notion.so/ik-wil-iemand-een-bericht-steuren-0d10e7122e484e72848b536f87d92989?pvs=21),relevant,,google.nl/com (https://www.notion.so/google-nl-com-7c0c28e0af774374ba7898b99657f780?pvs=21),Aphabet,redelijk_begrijpelijk,informatief,"BigTech,zoekmachines",commercieel,BigTech,2 of meer woorden,many_ads,,,informatieproduct div. commercieel,13,1,,https://www.google.com/,-,Maarten Sprenger,Almost completed,"January 13, 2024 11:16 AM",
Ja,Sloot (watergang) - Wikipedia,1,https://nl.wikipedia.org/wiki/Sloot_(watergang),sloot (https://www.notion.so/sloot-d22e86756e8f40efb9d06847ed9335eb?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Eén woord,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,-,Maarten Sprenger,Done,"January 12, 2024 9:57 PM",
Ja,Menstruatie (ongesteld zijn) | De Gynaecoloog,1,https://www.degynaecoloog.nl/onderwerpen/menstruatie-ongesteld-zijn/,maanstonden (https://www.notion.so/maanstonden-d166998bf97e4adeb2bffd443829bc7e?pvs=21),relevant,,degynaecoloog.nl (https://www.notion.so/degynaecoloog-nl-9a6984a55cd44d1490b25601810cf4bc?pvs=21),Nederlandse Vereniging voor Obstetrie en Gynaecologie (NVOG).,complex,informatief,"informatie_primair_doel,kennisbank/centrum",not_for_profit,Beroeps/Branche-verenigingen,Eén woord,no_ads,,,kennisbank/centrum +,1,1,,https://www.degynaecoloog.nl,- (JJ 8),Maarten Sprenger,Needs peer-review,"January 12, 2024 9:34 PM","gezondheid,lichaam"
Ja,Kangoeroes - Wikipedia,1,https://nl.wikipedia.org/wiki/Kangoeroes,kangoeroe (https://www.notion.so/kangoeroe-d15244f5ac414bc0aa33ff1c084f33fc?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Eén woord,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,1 (JJ 9),Maarten Sprenger,Done,"January 12, 2024 7:32 PM",
Nee,WTW filters bestellen? Bestel nu en profiteer van korting tot wel 20%! - WTW-filtersOnline B.V.,1,https://www.wtw-filtersonline.nl/nl/,filters (https://www.notion.so/filters-cf9c1b0a52094195b70372091b7af0b8?pvs=21),niet_relevant,homepage,wtw-filtersonline.nl (https://www.notion.so/wtw-filtersonline-nl-522f01e53ef04c66ab534fbd66fbcb5c?pvs=21),WTW-filtersOnline,nvt,transactional,"(product)informatie ihkv verkoop/bezoek,webshop",commercieel,Winkels en bedrijven div,Eén woord,company_promotion,,(Bijna) alleen shops op de query,alleen webshop,5,1,,https://www.wtw-filtersonline.nl/,-,Maarten Sprenger,Done,"January 12, 2024 7:13 PM",
Ja,Kwallen - Wikipedia,1,https://nl.wikipedia.org/wiki/Kwallen,Kwal (https://www.notion.so/Kwal-cf5616d4edd549dca3ff2cfad6ce82c0?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Eén woord,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,"5, 6 (klokhuis 3,4)",Maarten Sprenger,Done,"January 12, 2024 6:34 PM",
Ja,Top 100 university | Rijksuniversiteit Groningen,1,https://www.rug.nl/,Rug (https://www.notion.so/Rug-c60242f600f94df4a22a2ee053e351fe?pvs=21),relevant,homepage,rug.nl (https://www.notion.so/rug-nl-8ea20d9dec294ce7b71fb1ed14f6d902?pvs=21),Rijksuniversiteit van Groningen,complex,informatief,bedrijfsinfo/uithangbord,not_for_profit,Universiteit/Hogeschool,Eén woord,"company_promotion,no_ads",,,wetenschaps-informatie,1,1,,https://www.rug.nl/,2,Maarten Sprenger,Done,"January 12, 2024 6:02 PM",
Ja,Greta Thunberg - Wikipedia,1,https://nl.wikipedia.org/wiki/Greta_Thunberg,greta thunberg (https://www.notion.so/greta-thunberg-bcf62302413145689d969de31e27056c?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Named entity,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,"-  (JJ 3, 9)",Maarten Sprenger,Done,"January 8, 2024 4:05 PM",
Just-in-case,Home - Ritmica,1,https://www.allemaalritmica.be/,turne ritmic (https://www.notion.so/turne-ritmic-3a974918990c4eedba0a03aee159f08c?pvs=21),relevant,homepage,allemaalritmica.be (https://www.notion.so/allemaalritmica-be-063a2fc50fc9406589590ee3693ae43d?pvs=21),Ritmica,nvt,navigational,"bedrijfsinfo/uithangbord,promotioneel",not_for_profit,Amateur/vrijwilligersverenigingen,2 of meer woorden,company_promotion,,,verenigingsinformatie-landelijk/lokaal,1,1,,https://www.allemaalritmica.be,6 (zappsport),Maarten Sprenger,Done,"January 8, 2024 3:47 PM",
Ja,Puber | De puberteit: volwassen worden | Nederlands Jeugdinstituut,1,https://www.nji.nl/ontwikkeling/de-puberteit,puberteit (https://www.notion.so/puberteit-bc1d9f0d2f864fa99268e4b458d219b4?pvs=21),relevant,,nji.nl (https://www.notion.so/nji-nl-5b35ecf2a2a641daa31de73687549caa?pvs=21),,redelijk_begrijpelijk,informatief,"kennisbank/centrum,vakinformatie/beroepsinfo",not_for_profit,Overheid (of i.o.v.),Eén woord,no_ads,,,kennisbank/centrum +,2,1,,https://www.nji.nl,"2 ",Maarten Sprenger,Almost completed,"January 8, 2024 3:25 PM",
Ja,Geschiedenis van de auto (1885-1904) - Wikipedia,1,https://nl.wikipedia.org/wiki/Geschiedenis_van_de_auto_(1885-1904),auto 1885 (https://www.notion.so/auto-1885-b9060eea81874020870bd915310e2e96?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,2 of meer woorden,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,- (klokhuis 2),Maarten Sprenger,Done,"January 8, 2024 2:56 PM",
Just-in-case,poep - Google Zoeken videos,1,https://www.google.nl/search?sca_esv=596527358&tbm=vid&q=poep&sa=X&ved=2ahUKEwjYzqn1282DAxUY7gIHHQmQD4YQ8ccDegQIExAH,poep (https://www.notion.so/poep-b58d803c8c3b49ca859e4e8844e5c287?pvs=21),relevant,zoekmachine_facet_link,google.nl/com (https://www.notion.so/google-nl-com-7c0c28e0af774374ba7898b99657f780?pvs=21),Aphabet,nvt,navigational,"BigTech,zoekmachines",commercieel,BigTech,Eén woord,many_ads,,,informatieproduct div. commercieel,13,1,,https://www.google.com/,"- (JJ 1, 4; BD 8; KH 10)",Maarten Sprenger,Almost completed,"January 8, 2024 1:39 PM",
Ja,Nijlpaard - Wikipedia,1,https://nl.wikipedia.org/wiki/Nijlpaard,nijlpaard (https://www.notion.so/nijlpaard-b588c59f99514b8abbca9c6ea1c1d64e?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Eén woord,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,4,Maarten Sprenger,Done,"January 8, 2024 12:15 PM",
Just-in-case,De Prinses van Oranje | Het Koninklijk Huis,1,https://www.koninklijkhuis.nl/leden-koninklijk-huis/de-prinses-van-oranje,amalia (https://www.notion.so/amalia-aa97579ee6d44527bb4b8b5a7ca69f05?pvs=21),relevant,,koninklijkhuis.nl (https://www.notion.so/koninklijkhuis-nl-297ff95197c842fca98f86a5a0bafffb?pvs=21),RVD,complex,informatief,"overheidsinfo (of i.o.v.),promotioneel,voorlichting",not_for_profit,Overheid (of i.o.v.),Named entity,no_ads,,,overheidsinformatie (overige),1,1,,https://www.koninklijkhuis.nl/,"- (JJ 4, 6, 7, 9)",Maarten Sprenger,Almost completed,"January 8, 2024 11:36 AM",geschiedenis
Ja,Hoe wordt drinkwater gemaakt? | Ons water,1,"https://www.onswater.nl/onderwerpen/hoe-wordt-drinkwater-gemaakt#:~:text=Het%20water%20passeert%20een%20zandfilter,uit%20het%20water%20worden%20verwijderd.",hoe wordt oppervlaktewater gezuiverd? (https://www.notion.so/hoe-wordt-oppervlaktewater-gezuiverd-d25d54c456634778963b54124197c583?pvs=21),relevant,,onswater.nl (https://www.notion.so/onswater-nl-75e87dc9530f4005bdfe2448b313c02d?pvs=21),,complex,informatief,"about-voorbeeld,informatie_primair_doel,kennisbank/centrum,nutsbedrijf,samenwerkingsproject,vakinformatie/beroepsinfo",not_for_profit,Overheid (of i.o.v.),Vragen,no_ads,,,kennisbank/centrum +,1,1,,https://www.onswater.nl/,"8, 10",Maarten Sprenger,Done,"January 8, 2024 10:19 AM",
Nee,Tuindeuren - perfektkozijn,1,https://www.perfektkozijn.nl/producten/tuindeuren,wat voor soort producten worden er gemaakt bij de tuindeur (https://www.notion.so/wat-voor-soort-producten-worden-er-gemaakt-bij-de-tuindeur-c97711301e81436884d92c244c825294?pvs=21),relevant,webshop_result_page,perfektkozijn.nl (https://www.notion.so/perfektkozijn-nl-536fd98588bf4fcb8bcf2b0ec3b88ef0?pvs=21),Perfekt Kozijn,nvt,transactional,webshop,commercieel,Winkels en bedrijven div,Vragen,company_promotion,,(Bijna) alleen shops op de query,alleen webshop,0,1,,https://www.perfektkozijn.nl/,10,Maarten Sprenger,Done,"January 8, 2024 9:59 AM",
Ja,De nachtbraker | Vogelbescherming,1,https://www.vogelbescherming.nl/beleefdelente/filmpjes/bekijken/de-nachtbraker,nachtbraker vogel (https://www.notion.so/nachtbraker-vogel-b6b801cd50fd43079cd58c875c39b482?pvs=21),relevant,caption_txt,Beleef de lente (https://www.notion.so/Beleef-de-lente-ab0e5c72595f4d43a1a89d1865c1bebe?pvs=21),Vogelbescherming,te_simpel,informatief,kinder/jeugdsectie,not_for_profit,NGO/Goede doelen site,2 of meer woorden,no_ads,"Live stream van een nestcam, met caption",,"informatie in het kader van goed doel,kennisbank/centrum +",3,1,,https://www.vogelbescherming.nl/beleefdelente,-,Maarten Sprenger,Done,"January 7, 2024 5:38 PM",
Ja,Homepage | Merelbeke,1,https://www.merelbeke.be/,merelbeke (https://www.notion.so/merelbeke-acbee75a66994b1d93ec92df0aa53a50?pvs=21),relevant,homepage,merelbeke.be (https://www.notion.so/merelbeke-be-a8353ed5f8bb4afb874dcff5a490df38?pvs=21),,nvt,navigational,overheidsinfo (of i.o.v.),not_for_profit,Overheid (of i.o.v.),Named entity,no_ads,,,overheidsinformatie (overige),5,1,,https://www.merelbeke.be/,-,Maarten Sprenger,Done,"January 7, 2024 5:20 PM",
Ja,Seks | Sense.info,1,https://sense.info/nl/seks,seks (https://www.notion.so/seks-a5510d355afb4d61a71ac7602649129a?pvs=21),relevant,,sense.info (https://www.notion.so/sense-info-102c9aeeb53747938bfa444ffd1c494b?pvs=21),,redelijk_begrijpelijk,navigational,"doelgroep VO/12+,samenwerkingsproject,voorlichting",not_for_profit,Overheid (of i.o.v.),Eén woord,no_ads,,,kwaliteitsinfo voor 8-18,5,1,,https://sense.info,-,Maarten Sprenger,Done,"January 7, 2024 4:41 PM",lichaam
Ja,Galei (schip) - Wikipedia,1,https://nl.wikipedia.org/wiki/Galei_(schip),galei (https://www.notion.so/galei-a4c826881db541d3abc3e7e741cacc85?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Eén woord,no_ads,,Vooral woordenboek-resultaten,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,-,Maarten Sprenger,Done,"January 7, 2024 4:20 PM",
Ja,Unesco | Groot Barrièrerif,1,https://www.unesco.nl/nl/erfgoed/groot-barriererif,het groot Barrierif (https://www.notion.so/het-groot-Barrierif-d002ac8bd4734868bac5bf2a7ce0624a?pvs=21),relevant,,unesco.nl (https://www.notion.so/unesco-nl-78a218980b2147bb95091ff30f06c986?pvs=21),"Bureau Nederlandse Unesco Commissie, UN",redelijk_begrijpelijk,informatief,"informatie_primair_doel,kennisbank/centrum,overheidsinfo (of i.o.v.)",not_for_profit,Onafhankelijk Kennis- en adviescentrum,Named entity,no_ads,,,"informatie in het kader van goed doel,overheidsinformatie (overige)",3,1,,https://www.unesco.nl,-,Maarten Sprenger,Done,"January 2, 2024 4:29 PM",
Ja,Zebra (dier) - Wikipedia,1,https://nl.wikipedia.org/wiki/Zebra_(dier),zebra (https://www.notion.so/zebra-a21701b4a0ac4340beffed002e6d2beb?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Eén woord,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,"1, 3 (Klokhuis 4, JJ 10)",Maarten Sprenger,Done,"January 2, 2024 3:55 PM",
Ja,Pasteuriseren - Wikipedia,1,https://nl.wikipedia.org/wiki/Pasteuriseren,pasteuriseren (https://www.notion.so/pasteuriseren-a32117a92886427d84525bf0671de222?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Eén woord,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,-,Maarten Sprenger,Done,"January 2, 2024 3:25 PM",
Ja,Koningscobra - Wikipedia,1,https://nl.wikipedia.org/wiki/Koningscobra,cobra slang (https://www.notion.so/cobra-slang-9fb276752b1f49bfa83a4403c56a6034?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,complex,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,2 of meer woorden,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,"- (Jeugdjournaal: 1, 3_",Maarten Sprenger,Done,"January 2, 2024 2:51 PM",
Ja,Braziliaanse voetballegende Pelé overleden op 82-jarige leeftijd,1,https://nos.nl/collectie/13920/artikel/2458125-braziliaanse-voetballegende-pele-overleden-op-82-jarige-leeftijd,braziliaanse voetballegende pele overleden (https://www.notion.so/braziliaanse-voetballegende-pele-overleden-9c7796ccf76742f6bade6500e5b9a3c5?pvs=21),relevant,,nos.nl (https://www.notion.so/nos-nl-a04f9ca26a0a48f682168036bb117cd2?pvs=21),Nederlandse Omroep Stichting (NOS),redelijk_begrijpelijk,informatief,"informatie_primair_doel,infotainment,journalistiek,nieuws",not_for_profit,Publieke_omroep,2 of meer woorden,limited_ads,,,"journalistiek informatieproduct,publiek_mediaplatform (incl journalistiek)",14,1,,https://nos.nl/,"- (Jeugdjournaal: 1, 4, 5)",Maarten Sprenger,Done,"January 2, 2024 2:16 PM",
Ja,Camille Dhont - Wikipedia,1,https://nl.wikipedia.org/wiki/Camille_Dhont,camille dhont (https://www.notion.so/camille-dhont-973b45faa9554beba5c58eb21d96b42e?pvs=21),relevant,,wikipedia.org  (https://www.notion.so/wikipedia-org-e3d64286bdb549248cfdba53a463a692?pvs=21),Wikimedia Foundation inc,redelijk_begrijpelijk,informatief,"community,informatie_primair_doel,user_generated_content,wiki",not_for_profit,NGO/Goede doelen site,Named entity,no_ads,,,gebruikersplatform met kwaliteitsinformatie,1,1,,https://nl.wikipedia.org/,-,Maarten Sprenger,Done,"January 2, 2024 12:31 PM",
Just-in-case,De Wereld Van Rainbow Friends (Roblox) - YouTube,1,https://www.youtube.com/watch?v=CyPIM55xJTw,videos rehenboogfrienden (https://www.notion.so/videos-rehenboogfrienden-898e846d0c554b42a29ec4d28f0f2aba?pvs=21),relevant,,youtube.com/@Dutchtuber (https://www.notion.so/youtube-com-Dutchtuber-ec6b0c836cf84c44ae4218e6d3e24137?pvs=21),,eenvoudig,informatief,"BigTech,entertainment,infinite_scroll,social_media",ultra_commercieel,Celebrities/vloggers,2 of meer woorden,many_ads,,Bijna alles v 2 bronnen op de query,"blog/vlog commercieel,entertainment",11,1,,https://www.youtube.com/@Dutchtuber,-,Maarten Sprenger,Almost completed,"January 2, 2024 11:41 AM",
